,seed,backend,dt,neuron_type,n_type,N,min_max_rate,max_max_rate,tau,tau_control,dimensions,base_theta,effective_theta,within_gain_noise_std,between_gain_noise_std,input_noise_std,task_type,full_output,trial_duration,prestim,rt,estimate,control
19466,22750,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.8,0.005,0.4,prospective_sensory,False,1.4142135623730951,0.0,,0.6289006485660832,0.7114115248375146
19467,1623,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.4,0.0,0.0,prospective_sensory,False,2.0,0.0,,0.626968773672506,0.5
19468,3380,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.4,0.0,0.8,prospective_sensory,False,4.0,0.0,,0.6369701461829659,0.25
19469,10600,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.8,0.005,0.4,prospective_sensory,False,1.4142135623730951,0.0,,0.624998108663833,0.7093908901551352
19470,4842,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.0,0.005,0.0,prospective_sensory,False,4.0,0.0,,0.6366061776951468,0.2550697538742724
19471,12121,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.8284271247461903,0.8,0.01,0.4,prospective_sensory,False,2.8284271247461903,0.0,,0.640951332662469,0.37267175743302267
19472,18678,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.8284271247461903,0.4,0.01,0.0,prospective_sensory,False,2.8284271247461903,0.0,,0.6492941351792507,0.3620594109094255
19473,2415,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.4,0.005,0.0,prospective_sensory,False,4.0,0.0,,0.6082066296654646,0.23917793525499473
19474,12146,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.4,0.01,0.8,prospective_sensory,False,4.0,0.0,,0.6451474321040163,0.2501653603013866
19475,22119,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.8,0.0,0.0,prospective_sensory,False,0.25,0.0,,0.6101250412418039,4.0
19476,7701,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.8,0.0,0.0,prospective_sensory,False,2.0,0.0,,0.6196974092554145,0.5
19477,23040,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.8284271247461903,0.0,0.005,0.0,prospective_sensory,False,2.8284271247461903,0.0,,0.6253810942125323,0.3503568079086409
19478,21244,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.4,0.01,0.4,prospective_sensory,False,0.7071067811865476,0.0,,0.6279625185441643,1.4193213904539361
19479,7463,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.0,0.005,0.8,prospective_sensory,False,2.0,0.0,,0.6143403503383728,0.4967140282166184
19480,22382,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.8,0.01,0.8,prospective_sensory,False,0.25,0.0,,0.6213095670594477,4.002149107162684
19481,7809,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.8,0.0,0.0,prospective_sensory,False,0.3535533905932738,0.0,,0.6112815677586725,2.82842712474619
19482,14147,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.8,0.01,0.8,prospective_sensory,False,0.3535533905932738,0.0,,0.6100712411227045,2.81638736989321
19483,17843,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.4,0.01,0.8,prospective_sensory,False,0.7071067811865476,0.0,,0.6537724540388661,1.4121746351389137
19484,6211,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.0,0.0,0.4,prospective_sensory,False,1.4142135623730951,0.0,,0.6300269948848648,0.7071067811865475
19485,18014,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.4,0.0,0.8,prospective_sensory,False,0.3535533905932738,0.0,,0.6192719104199191,2.82842712474619
19486,14721,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.8,0.0,0.0,prospective_sensory,False,1.4142135623730951,0.0,,0.6513877769189158,0.7071067811865475
19487,18761,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.4,0.01,0.8,prospective_sensory,False,0.3535533905932738,0.0,,0.6617325901798621,2.8211779310048617
19488,9888,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.8,0.0,0.0,prospective_sensory,False,2.0,0.0,,0.6206848524463257,0.5
19489,14591,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.0,0.005,0.8,prospective_sensory,False,0.25,0.0,,0.5904734846235103,4.00687671259014
19490,21365,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.8,0.0,0.8,prospective_sensory,False,4.0,0.0,,0.5671662125883108,0.25
19491,19448,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.8,0.0,0.8,prospective_sensory,False,0.25,0.0,,0.6184971876791479,4.0
19492,8509,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.4,0.0,0.4,prospective_sensory,False,0.25,0.0,,0.6002551142240451,4.0
19493,13312,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.8284271247461903,0.0,0.0,0.4,prospective_sensory,False,2.8284271247461903,0.0,,0.6275938071576963,0.35355339059327373
